original_word,positive,neutral,negative
"short,",0.04,0.39,0.57
content,0.15,0.77,0.08
inconsequential,0.13,0.81,0.06
trite,0.0,0.0,1.0
standpoint<br,0.01,0.99,0.0
underdeveloped,0.0,0.0,1.0
thrill,0.9,0.08,0.02
/>Even,0.03,0.94,0.03
sympathy,0.02,0.01,0.97
1.,0.13,0.81,0.06
aspects,0.17,0.78,0.05
pterodactyls.),0.13,0.81,0.06
"gaffes,",0.13,0.81,0.06
embryos,0.13,0.81,0.06
chaos,0.04,0.04,0.92
"paleontologist,",0.13,0.81,0.06
shaving,0.08,0.88,0.04
ramblings),0.19,0.6,0.21
trap,0.0,0.03,0.97
dinosaurs,0.27,0.67,0.06
logically,0.13,0.79,0.08
45,0.03,0.95,0.02
"inconsistencies,",0.09,0.46,0.45
locked,0.05,0.44,0.51
(although,0.03,0.95,0.02
dino,0.68,0.29,0.03
Jurassic,0.22,0.73,0.05
scientist,0.2,0.74,0.06
"realistic,",0.82,0.14,0.04
#1,0.01,0.98,0.01
"summarize,",0.19,0.74,0.07
apparently),0.05,0.82,0.13
provided,0.68,0.29,0.03
suspense,0.68,0.24,0.08
(not,0.02,0.93,0.05
action.<br,0.01,0.98,0.01
sharing,0.92,0.07,0.01
dinos,0.47,0.48,0.05
(15,0.01,0.98,0.01
fingers,0.08,0.87,0.05
brown,0.03,0.93,0.04
"organization"",",0.15,0.81,0.04
Morocco,0.03,0.95,0.02
"terrorists""",0.16,0.73,0.11
survivor,0.28,0.66,0.06
media,0.05,0.92,0.03
"terrorist""...DAMN!<br",0.01,0.0,0.99
feeds,0.08,0.88,0.04
patriots,0.2,0.75,0.05
Dutchman,0.13,0.83,0.04
Dutch,0.07,0.91,0.02
seconds),0.03,0.94,0.03
terrorism,0.11,0.64,0.25
"""Arab",0.04,0.95,0.01
for!<br,0.04,0.95,0.01
tricked,0.01,0.03,0.96
"us"".",0.09,0.87,0.04
terrorists,0.16,0.73,0.11
something).<br,0.01,0.98,0.01
"plain,",0.04,0.77,0.19
"""charity",0.07,0.92,0.01
chess,0.16,0.8,0.04
western,0.06,0.9,0.04
(1,0.01,0.98,0.01
stereotype,0.01,0.01,0.98
Arab,0.15,0.8,0.05
/>Good,1.0,0.0,0.0
Morpheus-like,0.1,0.85,0.05
Poor,0.0,0.0,1.0
sleep.,0.17,0.77,0.06
room.,0.21,0.73,0.06
bus,0.15,0.81,0.04
dutch,0.07,0.91,0.02
10).,0.09,0.87,0.04
patriot,0.31,0.64,0.05
city!,0.15,0.81,0.04
too!,0.02,0.09,0.89
"""They",0.07,0.91,0.02
lame,0.0,0.01,0.99
Boring,0.0,0.0,1.0
like).<br,0.12,0.86,0.02
obsession,0.34,0.37,0.29
"opinion,of",0.03,0.93,0.04
focusing,0.08,0.86,0.06
"is,considered",0.02,0.95,0.03
match,0.48,0.45,0.07
manager,0.17,0.75,0.08
earlier.but,0.08,0.81,0.11
"""deep",0.01,0.98,0.01
player,0.15,0.81,0.04
Over:Kasparov,0.05,0.77,0.18
player.Kasparov,0.04,0.94,0.02
documentary.i,0.33,0.61,0.06
paranoid,0.0,0.0,1.0
rematch,0.18,0.72,0.1
Grandmaster,0.13,0.81,0.06
place.who,0.21,0.75,0.04
many.much,0.15,0.76,0.09
unfairly.the,0.0,0.0,1.0
agreed,0.43,0.47,0.1
supercomputer,0.13,0.81,0.06
Kasporov,0.13,0.81,0.06
"Machine""",0.19,0.76,0.05
snippets,0.14,0.74,0.12
cares?i,0.85,0.11,0.04
"game,but",0.1,0.59,0.31
ever.the,0.22,0.71,0.07
Garry,0.11,0.87,0.02
you.for,0.12,0.85,0.03
"game,it",0.29,0.49,0.22
slow.ultimately,0.0,0.02,0.98
"theories,this",0.2,0.74,0.06
rigged,0.08,0.36,0.56
after.there,0.05,0.91,0.04
chat,0.07,0.9,0.03
IBM,0.08,0.9,0.02
focuses,0.06,0.89,0.05
Kasporov's,0.05,0.91,0.04
value.i,0.87,0.09,0.04
"Blue""",0.04,0.94,0.02
"fan,and",0.47,0.49,0.04
that.i,0.04,0.95,0.01
"give""Game",0.13,0.7,0.17
Deep,0.12,0.85,0.03
way.they,0.03,0.95,0.02
1997,0.07,0.9,0.03
designed,0.13,0.84,0.03
course.if,0.01,0.98,0.01
4/10,0.02,0.97,0.01
unsatisfying.this,0.0,0.0,1.0
centers,0.06,0.92,0.02
"Smit-McPhee),",0.0,1.0,0.0
"wife,",0.5,0.44,0.06
men.,0.06,0.9,0.04
basis,0.12,0.84,0.04
dour,0.0,0.0,1.0
"Potente),",0.13,0.81,0.06
"Father""",0.3,0.59,0.11
marital,0.17,0.78,0.05
"pacing,",0.12,0.76,0.12
violates,0.0,0.01,0.99
intentions,0.15,0.7,0.15
happiness,0.84,0.14,0.02
author).<br,0.02,0.97,0.01
shacking,0.13,0.81,0.06
Raimond,0.13,0.81,0.06
raise,0.17,0.78,0.05
"""Munich""",0.02,0.98,0.0
"""Romulus,",0.01,0.98,0.01
masochistically,0.14,0.56,0.3
torturing,0.09,0.33,0.58
grow,0.19,0.7,0.11
turmoil,0.02,0.03,0.95
Eric,0.16,0.81,0.03
shamelessly,0.03,0.11,0.86
rural,0.15,0.8,0.05
slice-of-life,0.05,0.94,0.01
wedding,0.31,0.64,0.05
good-natured,1.0,0.0,0.0
(Franka,0.05,0.94,0.01
"adultery,",0.06,0.28,0.66
vows,0.55,0.39,0.06
insanity,0.03,0.19,0.78
Romulus,0.13,0.81,0.06
autobiographical,0.13,0.81,0.06
"fame,",0.6,0.38,0.02
flagrantly,0.13,0.81,0.06
funereal,0.13,0.81,0.06
impoverished,0.13,0.81,0.06
"unfortunately,",0.0,0.0,1.0
Christina,0.12,0.85,0.03
counteract,0.08,0.77,0.15
1960's,0.03,0.93,0.04
witness,0.25,0.7,0.05
suicides),0.02,0.26,0.72
grant,0.21,0.75,0.04
suicides,0.02,0.26,0.72
unremittingly,0.13,0.81,0.06
(Raimond,0.01,0.98,0.01
(Kodi,0.04,0.95,0.01
"Bana,",0.22,0.74,0.04
despairing,0.0,0.0,1.0
downbeat,0.13,0.81,0.06
good-hearted,1.0,0.0,0.0
stability,0.22,0.74,0.04
Raymond,0.22,0.75,0.03
bear,0.14,0.79,0.07
Gaita,0.13,0.81,0.06
"behavior,",0.08,0.8,0.12
wallow,0.11,0.56,0.33
"divorce,",0.12,0.64,0.24
Australia.,0.08,0.89,0.03
(let,0.03,0.94,0.03
memoir,0.19,0.75,0.06
émigré,0.13,0.81,0.06
unconventional,0.19,0.72,0.09
depressed,0.0,0.0,1.0
struggling,0.03,0.07,0.9
"Father,""",0.3,0.59,0.11
coming-of-age,0.03,0.95,0.02
vain,0.0,0.0,1.0
obstacle,0.14,0.73,0.13
family's,0.45,0.49,0.06
chains,0.11,0.84,0.05
Alistar,0.13,0.81,0.06
powder,0.06,0.92,0.02
(completely,0.03,0.95,0.02
lyrics,0.22,0.54,0.24
blends,0.25,0.72,0.03
transformation.<br,0.03,0.96,0.01
Charles,0.14,0.82,0.04
worn,0.01,0.01,0.98
"melody,",0.63,0.31,0.06
"Much""",0.18,0.7,0.12
Marley.,0.18,0.79,0.03
Dressed,0.16,0.77,0.07
disdain,0.01,0.01,0.98
Sim,0.04,0.94,0.02
negatives,0.0,0.0,1.0
Scrooge,0.13,0.81,0.06
"costume,",0.15,0.8,0.05
prances,0.13,0.81,0.06
bad).,0.0,0.0,1.0
hopelessly,0.0,0.0,1.0
again.<br,0.05,0.94,0.01
"(""Thank",1.0,0.0,0.0
"person,",0.11,0.84,0.05
loathsome,0.13,0.81,0.06
words).,0.18,0.74,0.08
musicals,0.3,0.65,0.05
Finney's,0.05,0.91,0.04
/>Steer,0.04,0.94,0.02
abomination,0.0,0.02,0.98
foppishly,0.13,0.81,0.06
Jacob,0.1,0.87,0.03
drivel,0.0,0.0,1.0
required,0.37,0.57,0.06
Laughton,0.13,0.81,0.06
trouble,0.0,0.0,1.0
(trust,0.96,0.03,0.01
"ghost,",0.11,0.66,0.23
"meanwhile,",0.1,0.85,0.05
way),0.09,0.86,0.05
hideous,0.0,0.0,1.0
double,0.06,0.91,0.03
Quasimodo/Scrooge.,0.07,0.85,0.08
insult,0.0,0.01,0.99
impossible,0.0,0.02,0.98
songwriter.,0.23,0.72,0.05
worthless,0.0,0.0,1.0
filmmaking,0.2,0.71,0.09
Guinness,0.37,0.6,0.03
1/10,0.04,0.94,0.02
terrified,0.0,0.0,1.0
Reaper,0.15,0.79,0.06
couples,0.16,0.81,0.03
buried,0.1,0.37,0.53
exacted,0.13,0.81,0.06
"scares,",0.0,0.0,1.0
You'd,0.02,0.97,0.01
teenagers-trapped-in-the-woods,0.0,0.0,1.0
miners,0.1,0.84,0.06
confines,0.13,0.81,0.06
"fornicating--and,",0.11,0.85,0.04
Lung,0.06,0.92,0.02
defecating--in,0.01,0.97,0.02
scampering,0.13,0.81,0.06
mine.,0.07,0.9,0.03
"case,",0.04,0.94,0.02
gold,0.12,0.84,0.04
hopes,0.83,0.11,0.06
"workplace,",0.17,0.78,0.05
"revenge,",0.02,0.03,0.95
turkey,0.06,0.92,0.02
century-and-a-half,0.0,0.99,0.01
"Okay,",0.03,0.18,0.79
difficulty,0.15,0.5,0.35
ring,0.04,0.94,0.02
happen.,0.05,0.83,0.12
Disease,0.12,0.72,0.16
"woods,",0.12,0.84,0.04
nearly-abandoned,0.0,0.0,1.0
grisly,0.02,0.01,0.97
envisioned,0.13,0.81,0.06
"""Miner's",0.01,0.98,0.01
morons,0.0,0.03,0.97
nudity.,0.02,0.31,0.67
"Jacks,",0.08,0.89,0.03
lives,0.57,0.37,0.06
"town,",0.19,0.76,0.05
"Massacre""",0.02,0.07,0.91
plenty,0.44,0.52,0.04
twenty-somethings,0.02,0.96,0.02
I.Q.,0.05,0.93,0.02
cavernous,0.13,0.81,0.06
Grim,0.02,0.02,0.96
"teenagers,",0.13,0.79,0.08
terrestrial,0.13,0.81,0.06
scant,0.13,0.81,0.06
Cracker,0.11,0.85,0.04
embarrassing,0.0,0.0,1.0
be.,0.12,0.81,0.07
ignoring,0.01,0.07,0.92
meanwhile,0.1,0.85,0.05
Satanist),0.35,0.55,0.1
witches,0.16,0.77,0.07
traped,0.13,0.81,0.06
creepy),0.0,0.0,1.0
Wells,0.12,0.84,0.04
somebody,0.1,0.85,0.05
nosey,0.12,0.75,0.13
miscarrage.,0.13,0.81,0.06
die.,0.0,0.01,0.99
"Ok,",0.2,0.26,0.54
gotten,0.1,0.6,0.3
whoever,0.14,0.81,0.05
disapears,0.13,0.81,0.06
miscarrage,0.13,0.81,0.06
coven,0.11,0.85,0.04
stabs,0.03,0.17,0.8
dealing,0.09,0.76,0.15
weird.,0.0,0.0,1.0
doll,0.12,0.81,0.07
Lillith,0.13,0.81,0.06
funeral,0.26,0.46,0.28
resembles,0.08,0.58,0.34
"ok,",0.2,0.26,0.54
neighbors,0.16,0.79,0.05
about.,0.04,0.93,0.03
playgroud,0.13,0.81,0.06
warn,0.0,0.0,1.0
calling,0.06,0.85,0.09
escape,0.17,0.73,0.1
discovers,0.24,0.64,0.12
(couldn't,0.02,0.8,0.18
powers,0.13,0.83,0.04
"anyhow,",0.05,0.91,0.04
staring,0.06,0.69,0.25
Orson,0.13,0.81,0.06
busness,0.13,0.81,0.06
occult,0.13,0.81,0.06
belong,0.1,0.86,0.04
woefully,0.0,0.0,1.0
offensive,0.0,0.0,1.0
arousing,0.13,0.81,0.06
exploitation,0.02,0.09,0.89
meagre,0.13,0.81,0.06
dubious,0.0,0.0,1.0
"scary,",0.0,0.0,1.0
word.,0.09,0.84,0.07
plodding,0.0,0.0,1.0
personality,0.25,0.7,0.05
"viewers,",0.13,0.81,0.06
cheerful,0.96,0.03,0.01
relentlessly,0.13,0.81,0.06
"pace,",0.24,0.71,0.05
"0,",0.05,0.89,0.06
childish,0.0,0.0,1.0
standards,0.46,0.48,0.06
misguided,0.0,0.0,1.0
"dull,",0.0,0.0,1.0
do.,0.11,0.84,0.05
travesty,0.0,0.0,1.0
"wasted,",0.0,0.0,1.0
squandered.<br,0.01,0.99,0.0
viewers.<br,0.01,0.99,0.0
crime;,0.07,0.14,0.79
discerning,0.13,0.81,0.06
puerile,0.13,0.81,0.06
resources,0.18,0.77,0.05
defended,0.02,0.03,0.95
"existence,",0.14,0.81,0.05
Ilsa,0.13,0.81,0.06
miracle,0.86,0.13,0.01
Avoid,0.0,0.0,1.0
commence.,0.28,0.67,0.05
horrifying,0.0,0.0,1.0
scrap,0.08,0.5,0.42
titillation,0.13,0.81,0.06
pseudolesbian,0.13,0.81,0.06
up-front,0.02,0.97,0.01
dug,0.08,0.69,0.23
soften,0.07,0.84,0.09
unexceptional,0.13,0.81,0.06
joking,0.13,0.73,0.14
Elvira's,0.21,0.73,0.06
"titillation,",0.13,0.81,0.06
conceived,0.2,0.72,0.08
purposes.<br,0.01,0.98,0.01
film.<br,0.03,0.96,0.01
horrendously,0.0,0.0,1.0
sake,0.16,0.58,0.26
unapologetic,0.4,0.42,0.18
bleak,0.0,0.0,1.0
judo,0.13,0.84,0.03
condition,0.21,0.71,0.08
effort,0.19,0.67,0.14
ton,0.3,0.63,0.07
budget.,0.25,0.6,0.15
wrong.<br,0.0,0.0,1.0
assassinated,0.16,0.54,0.3
concur.<br,0.01,0.99,0.0
5th,0.08,0.9,0.02
theatre,0.17,0.78,0.05
"enthusiasm,",0.89,0.09,0.02
"visuals,",0.44,0.5,0.06
deteriorated,0.0,0.0,1.0
cleaner.<br,0.14,0.85,0.01
repeat,0.15,0.52,0.33
dollar,0.09,0.84,0.07
bricks,0.09,0.85,0.06
that),0.06,0.92,0.02
aircrafts,0.13,0.81,0.06
4th,0.12,0.86,0.02
unbelievable,0.7,0.19,0.11
motions,0.14,0.81,0.05
zappruder,0.13,0.81,0.06
shoulder,0.05,0.91,0.04
pathetic.,0.0,0.0,1.0
shaky,0.0,0.0,1.0
Steven,0.13,0.84,0.03
(Segal,0.01,0.98,0.01
steadier,0.13,0.81,0.06
opponent,0.1,0.69,0.21
exit,0.07,0.88,0.05
F,0.22,0.72,0.06
Segal's,0.05,0.91,0.04
"in,",0.09,0.87,0.04
reduced,0.08,0.71,0.21
conscientious,0.88,0.1,0.02
12,0.06,0.92,0.02
"comments,",0.13,0.81,0.06
flight,0.14,0.81,0.05
blades,0.09,0.88,0.03
Segal,0.13,0.81,0.06
wounds.,0.13,0.67,0.2
wondering,0.06,0.9,0.04
book.<br,0.03,0.96,0.01
obligation.,0.14,0.76,0.1
beet,0.12,0.84,0.04
stodgy,0.13,0.81,0.06
lads,0.42,0.51,0.07
"director,",0.17,0.76,0.07
links,0.06,0.91,0.03
ambles,0.13,0.81,0.06
"extreme,",0.03,0.61,0.36
fitting,0.64,0.32,0.04
preventing,0.1,0.81,0.09
avoided,0.0,0.0,1.0
"days,",0.08,0.86,0.06
tasteless,0.0,0.0,1.0
violence.,0.0,0.01,0.99
go.,0.26,0.7,0.04
YouTube,0.02,0.97,0.01
acts.,0.25,0.7,0.05
celebrity,0.16,0.79,0.05
violence,0.0,0.01,0.99
violent,0.0,0.0,1.0
respect.<br,0.05,0.94,0.01
"outsider,",0.11,0.78,0.11
damns,0.0,0.0,1.0
TVs.,0.02,0.95,0.03
generation,0.2,0.76,0.04
status.<br,0.02,0.98,0.0
Clay,0.05,0.91,0.04
perpetrator,0.13,0.81,0.06
types.,0.12,0.85,0.03
film?,0.17,0.72,0.11
real?<br,0.05,0.94,0.01
SIMULATED,0.13,0.81,0.06
failure,0.0,0.0,1.0
crazed,0.04,0.16,0.8
Clay's,0.03,0.87,0.1
imagery,0.15,0.78,0.07
/>Shame,0.0,0.0,1.0
psycho,0.1,0.44,0.46
rapist.<br,0.05,0.73,0.22
committing,0.07,0.73,0.2
engaged,0.58,0.38,0.04
adolescents,0.13,0.81,0.06
drugs,0.18,0.75,0.07
/>Seriously,0.08,0.85,0.07
mixing,0.13,0.84,0.03
naive,0.0,0.0,1.0
unaware,0.04,0.63,0.33
actively,0.13,0.81,0.06
"if,",0.03,0.95,0.02
kick-butt,0.0,0.01,0.99
raping,0.03,0.1,0.87
"best,",1.0,0.0,0.0
warlord,0.16,0.77,0.07
"or,",0.01,0.98,0.01
semi-unique,0.66,0.33,0.01
"yourself,",0.18,0.77,0.05
sounded,0.04,0.07,0.89
bought,0.36,0.52,0.12
warlord's,0.09,0.83,0.08
"pillaging,",0.13,0.81,0.06
knowledge,0.47,0.48,0.05
lifetime.,0.25,0.71,0.04
"insane,",0.0,0.0,1.0
Nordic,0.08,0.9,0.02
Berserker.,0.13,0.81,0.06
BAD,0.0,0.0,1.0
lifetime,0.25,0.71,0.04
gore...,0.15,0.77,0.08
extreme?,0.03,0.61,0.36
we?,0.1,0.87,0.03
God,0.81,0.14,0.05
Berserkers,0.13,0.81,0.06
Viking,0.45,0.51,0.04
insane,0.0,0.0,1.0
tactics,0.05,0.57,0.38
quasi-good,1.0,0.0,0.0
awhile,0.11,0.85,0.04
for.,0.22,0.73,0.05
improved,0.94,0.05,0.01
questioning,0.12,0.77,0.11
enraged,0.0,0.0,1.0
defies,0.13,0.81,0.06
"enough,",0.24,0.7,0.06
nudity,0.02,0.31,0.67
Vikings,0.28,0.69,0.03
Odin,0.02,0.97,0.01
bored,0.0,0.01,0.99
Restless,0.16,0.64,0.2
enough:,0.24,0.7,0.06
Berserker,0.13,0.81,0.06
celluloid.,0.13,0.81,0.06
dropped,0.04,0.28,0.68
competently,0.13,0.81,0.06
could've,0.06,0.78,0.16
now...,0.19,0.76,0.05
(etc...),0.03,0.96,0.01
drag,0.12,0.83,0.05
"instead,",0.04,0.84,0.12
dribble,0.05,0.7,0.25
"torture,",0.01,0.05,0.94
"enraged,",0.0,0.0,1.0
Barek,0.13,0.81,0.06
hoped,0.6,0.04,0.36
drab,0.13,0.81,0.06
soap-opera,0.06,0.92,0.02
"alas,",0.0,0.02,0.98
"""Berserkers""",0.01,0.98,0.01
steer,0.12,0.83,0.05
84,0.13,0.81,0.06
"Barek,",0.13,0.81,0.06
forcing,0.02,0.42,0.56
unofficial,0.08,0.88,0.04
herself...,0.23,0.67,0.1
HIM,0.23,0.68,0.09
handle,0.07,0.89,0.04
mainly,0.04,0.88,0.08
"neighbor,",0.17,0.78,0.05
assertion!,0.13,0.81,0.06
"gore,",0.15,0.77,0.08
whom,0.1,0.86,0.04
"Grave""",0.1,0.34,0.56
sh!t,0.1,0.49,0.41
"""I",0.06,0.92,0.02
"""grabby""",0.03,0.84,0.13
heavily,0.04,0.68,0.28
woods.,0.12,0.84,0.04
struck,0.53,0.26,0.21
"Surely,",0.17,0.77,0.06
destroying,0.0,0.01,0.99
blasphemous,0.13,0.81,0.06
abrasive,0.13,0.81,0.06
screw,0.0,0.02,0.98
strives,0.13,0.81,0.06
graphic,0.1,0.82,0.08
captives,0.11,0.81,0.08
humiliation,0.0,0.01,0.99
masturbation,0.12,0.8,0.08
boyfriend,0.19,0.71,0.1
"Corpse,",0.11,0.62,0.27
mild.,0.35,0.56,0.09
consist,0.02,0.95,0.03
intended,0.21,0.61,0.18
abetting,0.13,0.81,0.06
wildly,0.05,0.73,0.22
boss.,0.52,0.41,0.07
murdering,0.09,0.34,0.57
explains,0.2,0.71,0.09
decently,0.77,0.18,0.05
arranges,0.13,0.81,0.06
collection,0.33,0.62,0.05
pigs),0.17,0.77,0.06
me.,0.15,0.77,0.08
tortures,0.05,0.06,0.89
drugged,0.07,0.35,0.58
miserably...,0.0,0.0,1.0
man-rape...,0.0,0.0,1.0
"kills,",0.0,0.0,1.0
comprehension,0.24,0.66,0.1
tactics...,0.05,0.57,0.38
imprisoned,0.05,0.22,0.73
basement.,0.19,0.76,0.05
Camille,0.12,0.85,0.03
essentially,0.05,0.86,0.09
stranded,0.05,0.64,0.31
reference,0.18,0.77,0.05
winds,0.12,0.82,0.06
sleazy,0.0,0.0,1.0
P!ss,0.03,0.95,0.02
genitalia,0.04,0.86,0.1
disturbing,0.0,0.0,1.0
"""shock""",0.03,0.24,0.73
suggesting,0.06,0.9,0.04
profuse,0.13,0.81,0.06
appeal,0.54,0.37,0.09
Spit,0.02,0.22,0.76
shocks,0.18,0.71,0.11
Keaton.,0.2,0.77,0.03
personally,0.11,0.85,0.04
broom,0.12,0.84,0.04
(case,0.03,0.96,0.01
"CARNOSAUR,",0.13,0.81,0.06
/>Rating:,0.38,0.59,0.03
STAR-highly,0.81,0.08,0.11
Simply,0.06,0.89,0.05
AWAY,0.08,0.81,0.11
miserable,0.0,0.0,1.0
bulldozer-which,0.01,0.98,0.01
"1,",0.13,0.81,0.06
flames.<br,0.02,0.98,0.0
DONNEL,0.13,0.81,0.06
younger.,0.2,0.72,0.08
/>**********SPOILER,0.05,0.88,0.07
3:<br,0.01,0.94,0.05
point-John,0.01,0.98,0.01
loser.,0.0,0.0,1.0
*****<br,0.01,0.99,0.0
forklift,0.13,0.84,0.03
general-<br,0.0,1.0,0.0
lifted,0.12,0.81,0.07
O',0.36,0.51,0.13
flick-,0.04,0.93,0.03
recommended)<br,0.68,0.31,0.01
that?,0.06,0.92,0.02
/>THEN,0.04,0.94,0.02
Alpha,0.06,0.91,0.03
anyone's,0.05,0.92,0.03
directly,0.07,0.9,0.03
T-Rex.,0.06,0.92,0.02
battle,0.2,0.52,0.28
STAY,0.11,0.83,0.06
FROM,0.09,0.86,0.05
sat,0.06,0.9,0.04
guard,0.09,0.86,0.05
Take,0.11,0.83,0.06
CARNOSAUR,0.13,0.81,0.06
CRAPSTERPIECE!<br,0.01,0.99,0.0
jaws,0.09,0.88,0.03
"instance,",0.06,0.9,0.04
doom,0.0,0.0,1.0
aforementioned,0.11,0.83,0.06
Rex,0.24,0.72,0.04
PARK,0.21,0.75,0.04
ROSIE,0.12,0.85,0.03
-ta-daa!-,0.05,0.91,0.04
JURASSIC,0.22,0.73,0.05
SHOW.<br,0.02,0.97,0.01
ALERT***************<br,0.01,0.98,0.01
unfortunate,0.0,0.0,1.0
1/2*,0.07,0.9,0.03
THIS,0.14,0.81,0.05
pounds,0.08,0.88,0.04
intelligence.<br,0.01,0.98,0.01
DARK,0.04,0.9,0.06
/>But,0.03,0.95,0.02
carbon,0.04,0.94,0.02
same-the,0.04,0.94,0.02
beast,0.28,0.6,0.12
drops,0.07,0.82,0.11
CINEMATIC,0.75,0.2,0.05
alternates,0.13,0.81,0.06
crummy,0.0,0.0,1.0
dino/slasher,0.52,0.41,0.07
truck-through,0.15,0.83,0.02
relapses,0.13,0.81,0.06
Does,0.11,0.78,0.11
(under,0.03,0.96,0.01
institution,0.18,0.76,0.06
Priscilla,0.16,0.8,0.04
"cuts,",0.66,0.25,0.09
tape,0.08,0.88,0.04
copy).,0.2,0.72,0.08
food.<br,0.04,0.95,0.01
suck!,0.01,0.01,0.98
pseudonym,0.13,0.81,0.06
Alden,0.03,0.96,0.01
blank,0.03,0.89,0.08
Phillips),0.04,0.94,0.02
Crazy,0.02,0.05,0.93
Janowski,0.13,0.81,0.06
Ethel,0.14,0.83,0.03
criminally,0.13,0.81,0.06
"possible),",0.33,0.61,0.06
tried.,0.04,0.78,0.18
horrible,0.0,0.0,1.0
Due,0.06,0.87,0.07
(again,0.4,0.56,0.04
Alden),0.03,0.96,0.01
/>HOLY,0.24,0.74,0.02
VCRs,0.06,0.93,0.01
audio,0.1,0.86,0.04
Fat,0.05,0.91,0.04
SILENT,0.09,0.84,0.07
video.,0.09,0.86,0.05
"NIGHT,",0.17,0.77,0.06
covered,0.11,0.84,0.05
hooked,0.85,0.13,0.02
costs!,0.09,0.45,0.46
inept,0.0,0.0,1.0
Bartholomew,0.13,0.81,0.06
DEADLY,0.0,0.0,1.0
padding,0.05,0.9,0.05
Millard,0.13,0.81,0.06
Hope,0.99,0.01,0.0
weekend.,0.22,0.73,0.05
Millard's,0.05,0.91,0.04
open,0.02,0.91,0.07
mental,0.09,0.85,0.06
up.,0.16,0.77,0.07
"there,",0.09,0.87,0.04
Nick,0.15,0.8,0.05
MOLY!,0.14,0.84,0.02
"Seriously,",0.07,0.75,0.18
apparently,0.05,0.82,0.13
NIGHT,0.17,0.77,0.06
translate,0.13,0.8,0.07
outfit,0.56,0.39,0.05
"witch,",0.18,0.69,0.13
convince,0.1,0.66,0.24
"battle,",0.2,0.52,0.28
"""She",0.12,0.85,0.03
Everyone,0.4,0.55,0.05
shallow.,0.01,0.09,0.9
convincing...,0.96,0.03,0.01
"Besides,",0.08,0.88,0.04
trash.,0.0,0.02,0.98
hair,0.1,0.83,0.07
Brandi's,0.05,0.91,0.04
fainted...,0.06,0.06,0.88
court,0.14,0.81,0.05
so...,0.15,0.68,0.17
wears,0.08,0.77,0.15
stars.,0.95,0.04,0.01
"film"".",0.17,0.72,0.11
understands...,0.67,0.28,0.05
Fake.,0.0,0.0,1.0
world!,0.16,0.8,0.04
condemned,0.0,0.0,1.0
7-star,0.92,0.07,0.01
"rating,",0.35,0.43,0.22
Brandi,0.11,0.85,0.04
believes,0.6,0.3,0.1
dressed,0.16,0.77,0.07
ladies,0.26,0.7,0.04
witch?,0.18,0.69,0.13
"""she",0.12,0.85,0.03
accuses,0.0,0.01,0.99
"different"".<br",0.01,0.98,0.01
"But,",0.04,0.92,0.04
ground,0.07,0.9,0.03
"""different"",",0.03,0.96,0.01
case,0.04,0.94,0.02
van,0.27,0.68,0.05
personalities,0.18,0.77,0.05
low-budget,0.0,0.01,0.99
you?<br,0.01,0.99,0.0
NOTHING,0.03,0.25,0.72
"breathtaking,",0.99,0.01,0.0
judged,0.01,0.02,0.97
Contradictors,0.16,0.79,0.05
trait!,0.17,0.78,0.05
/>Agreeing,0.16,0.79,0.05
psychopath,0.15,0.65,0.2
/>oh,0.06,0.89,0.05
"independent,",0.17,0.78,0.05
hand-held,0.0,0.99,0.01
c'mon,0.51,0.3,0.19
argue,0.04,0.88,0.08
somewhat,0.04,0.85,0.11
respect,0.29,0.65,0.06
thus,0.05,0.91,0.04
shooting,0.11,0.8,0.09
cinematography.,0.33,0.6,0.07
innovation,0.21,0.75,0.04
dreadfully.<br,0.0,0.0,1.0
weak,0.0,0.0,1.0
horrifying.<br,0.0,0.0,1.0
Used,0.09,0.36,0.55
numbingly,0.01,0.03,0.96
assuming,0.05,0.93,0.02
inadequate,0.0,0.0,1.0
existed,0.13,0.76,0.11
exponentially,0.15,0.79,0.06
switched,0.07,0.77,0.16
asked!,0.08,0.85,0.07
rationality,0.13,0.81,0.06
absence,0.06,0.76,0.18
conquest,0.18,0.75,0.07
Project,0.24,0.71,0.05
,0.13,0.81,0.06
"Definitely,",0.24,0.71,0.05
amateurism,0.13,0.81,0.06
meager,0.0,0.02,0.98
Cloverfield,0.13,0.81,0.06
mobile,0.1,0.87,0.03
sleeve,0.02,0.96,0.02
bitch?,0.02,0.04,0.94
arm,0.02,0.95,0.03
unconvincing,0.0,0.0,1.0
mess.<br,0.0,0.01,0.99
blur,0.03,0.18,0.79
"""traumatic""",0.04,0.48,0.48
"number,",0.07,0.9,0.03
ludicrous.,0.0,0.0,1.0
suffering,0.0,0.0,1.0
irritating.,0.0,0.0,1.0
"else"".",0.05,0.91,0.04
"point,",0.06,0.89,0.05
Scott's,0.15,0.81,0.04
Clearly,0.13,0.78,0.09
Domino,0.11,0.81,0.08
threaten,0.03,0.31,0.66
bomb,0.06,0.07,0.87
pointlessly,0.13,0.81,0.06
"stunted,",0.0,0.01,0.99
dreadfully,0.0,0.0,1.0
True,0.13,0.81,0.06
Knightley,0.13,0.81,0.06
/>Keira,0.03,0.96,0.01
"""There",0.05,0.93,0.02
arranged,0.33,0.61,0.06
miscast.,0.13,0.81,0.06
easy.<br,0.98,0.02,0.0
bad-ass,0.0,0.0,1.0
shotgun.,0.11,0.85,0.04
